OpenMP is enabled.
Number of threads = 8
app_name: lane_emden
G = 0.00043
Using algorithm: GSPH
Particle id: 0 | n_neighbor: 20 | dens_i: 3.77892 | updated sml: 0.78221 | v_sig_max: 0.326353
Particle id: 3700 | n_neighbor: 27 | dens_i: 39.5478 | updated sml: 0.357606 | v_sig_max: 0.646511
Particle id: 1600 | n_neighbor: 21 | dens_i: 16.0889 | updated sml: 0.482619 | v_sig_max: 0.483032
Particle id: 550 | n_neighbor: 26 | dens_i: 23.689 | updated sml: 0.424226 | v_sig_max: 0.568698
Particle id: 2150 | n_neighbor: 26 | dens_i: 35.1309 | updated sml: 0.372006 | v_sig_max: 0.617027
Particle id: 2650 | n_neighbor: 27 | dens_i: 48.8258 | updated sml: 0.333347 | v_sig_max: 0.690432
Particle id: 50 | n_neighbor: 20 | dens_i: 17.9026 | updated sml: 0.465738 | v_sig_max: 0.492823
Particle id: 3750 | n_neighbor: 24 | dens_i: 21.9644 | updated sml: 0.43505 | v_sig_max: 0.557601
Particle id: 1650 | n_neighbor: 27 | dens_i: 55.3697 | updated sml: 0.31966 | v_sig_max: 0.710516
Particle id: 600 | n_neighbor: 28 | dens_i: 26.0708 | updated sml: 0.410892 | v_sig_max: 0.592221
Particle id: 2200 | n_neighbor: 27 | dens_i: 50.5235 | updated sml: 0.32957 | v_sig_max: 0.692951
Particle id: 100 | n_neighbor: 20 | dens_i: 17.9026 | updated sml: 0.465738 | v_sig_max: 0.492823
Particle id: 2700 | n_neighbor: 27 | dens_i: 34.0887 | updated sml: 0.375759 | v_sig_max: 0.613719
Particle id: 3200 | n_neighbor: 27 | dens_i: 48.8258 | updated sml: 0.333347 | v_sig_max: 0.690432
Particle id: 3800 | n_neighbor: 26 | dens_i: 16.4519 | updated sml: 0.479042 | v_sig_max: 0.515498
Particle id: 1100 | n_neighbor: 27 | dens_i: 29.8819 | updated sml: 0.392624 | v_sig_max: 0.609644
Particle id: 1700 | n_neighbor: 21 | dens_i: 16.0889 | updated sml: 0.482619 | v_sig_max: 0.483032
Particle id: 650 | n_neighbor: 24 | dens_i: 9.75488 | updated sml: 0.570216 | v_sig_max: 0.445012
Particle id: 2750 | n_neighbor: 30 | dens_i: 6.40728 | updated sml: 0.655976 | v_sig_max: 0.416435
Particle id: 150 | n_neighbor: 31 | dens_i: 8.338 | updated sml: 0.60084 | v_sig_max: 0.440314
Particle id: 3250 | n_neighbor: 28 | dens_i: 32.0706 | updated sml: 0.383481 | v_sig_max: 0.62214
Particle id: 3850 | n_neighbor: 27 | dens_i: 34.0887 | updated sml: 0.375759 | v_sig_max: 0.613719
Particle id: 700 | n_neighbor: 31 | dens_i: 17.6257 | updated sml: 0.468163 | v_sig_max: 0.526095
Particle id: 1750 | n_neighbor: 26 | dens_i: 27.776 | updated sml: 0.402305 | v_sig_max: 0.596481
Particle id: 1150 | n_neighbor: 24 | dens_i: 21.9644 | updated sml: 0.43505 | v_sig_max: 0.557601
Particle id: 200 | n_neighbor: 26 | dens_i: 21.4102 | updated sml: 0.438772 | v_sig_max: 0.538026
Particle id: 3900 | n_neighbor: 26 | dens_i: 26.2825 | updated sml: 0.409786 | v_sig_max: 0.582566
Particle id: 2250 | n_neighbor: 14 | dens_i: 14.6196 | updated sml: 0.498273 | v_sig_max: 0.417541
Particle id: 2800 | n_neighbor: 25 | dens_i: 42.555 | updated sml: 0.348976 | v_sig_max: 0.663867
Particle id: 1800 | n_neighbor: 18 | dens_i: 11.7716 | updated sml: 0.535592 | v_sig_max: 0.401004
Particle id: 750 | n_neighbor: 25 | dens_i: 21.8711 | updated sml: 0.435668 | v_sig_max: 0.556943
Particle id: 250 | n_neighbor: 27 | dens_i: 2.82845 | updated sml: 0.861515 | v_sig_max: 0.332302
Particle id: 2300 | n_neighbor: 27 | dens_i: 54.9858 | updated sml: 0.320402 | v_sig_max: 0.713002
Particle id: 800 | n_neighbor: 28 | dens_i: 16.4265 | updated sml: 0.479289 | v_sig_max: 0.506183
Particle id: 1200 | n_neighbor: 26 | dens_i: 8.22072 | updated sml: 0.603684 | v_sig_max: 0.427281
Particle id: 3300 | n_neighbor: 26 | dens_i: 16.8493 | updated sml: 0.475246 | v_sig_max: 0.511238
Particle id: 3950 | n_neighbor: 26 | dens_i: 16.4519 | updated sml: 0.479042 | v_sig_max: 0.515498
Particle id: 300 | n_neighbor: 26 | dens_i: 26.2825 | updated sml: 0.409786 | v_sig_max: 0.582566
Particle id: 1850 | n_neighbor: 26 | dens_i: 40.899 | updated sml: 0.353624 | v_sig_max: 0.649825
Particle id: 2350 | n_neighbor: 27 | dens_i: 23.0676 | updated sml: 0.428001 | v_sig_max: 0.560909
Particle id: 1250 | n_neighbor: 26 | dens_i: 39.0371 | updated sml: 0.359159 | v_sig_max: 0.652008
Particle id: 3350 | n_neighbor: 24 | dens_i: 21.9644 | updated sml: 0.43505 | v_sig_max: 0.557601
Particle id: 4000 | n_neighbor: 24 | dens_i: 23.6923 | updated sml: 0.424206 | v_sig_max: 0.553635
Particle id: 2850 | n_neighbor: 27 | dens_i: 36.2783 | updated sml: 0.368042 | v_sig_max: 0.634728
Particle id: 350 | n_neighbor: 19 | dens_i: 3.62178 | updated sml: 0.793363 | v_sig_max: 0.312639
Particle id: 1900 | n_neighbor: 27 | dens_i: 46.7084 | updated sml: 0.33831 | v_sig_max: 0.682513
Particle id: 1300 | n_neighbor: 24 | dens_i: 23.6923 | updated sml: 0.424206 | v_sig_max: 0.553635
Particle id: 2400 | n_neighbor: 28 | dens_i: 16.4265 | updated sml: 0.479289 | v_sig_max: 0.506183
Particle id: 3400 | n_neighbor: 26 | dens_i: 25.1688 | updated sml: 0.415743 | v_sig_max: 0.585574
Particle id: 1950 | n_neighbor: 26 | dens_i: 35.1309 | updated sml: 0.372006 | v_sig_max: 0.617027
Particle id: 850 | n_neighbor: 29 | dens_i: 27.2615 | updated sml: 0.40482 | v_sig_max: 0.599796
Particle id: 2900 | n_neighbor: 25 | dens_i: 42.555 | updated sml: 0.348976 | v_sig_max: 0.663867
Particle id: 1350 | n_neighbor: 27 | dens_i: 49.5742 | updated sml: 0.331661 | v_sig_max: 0.695414
